external_item,header_file,category,file_name,line_number,context_statement
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,338,"SET_VECTOR_ELT(rlist, 4, dnode3);"
mkChar,Rinternals.h,function,rpart.c,339,"SET_STRING_ELT(rname, 4, mkChar(""dnode""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,339,"SET_STRING_ELT(rname, 4, mkChar(""dnode""));"
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,340,"SET_VECTOR_ELT(rlist, 5, inode3);"
mkChar,Rinternals.h,function,rpart.c,341,"SET_STRING_ELT(rname, 5, mkChar(""inode""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,341,"SET_STRING_ELT(rname, 5, mkChar(""inode""));"
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,343,"SET_VECTOR_ELT(rlist, 6, csplit3);"
mkChar,Rinternals.h,function,rpart.c,344,"SET_STRING_ELT(rname, 6, mkChar(""csplit""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,344,"SET_STRING_ELT(rname, 6, mkChar(""csplit""));"
UNPROTECT,Rinternals.h,function,rpart.c,347,"UNPROTECT(1 + nout);"
